Name,Conflict,Year,Population,Casualties,Annual_Casualties
Australia,WWI,1914,5000000,62149,15537.25
Canada,WWI,1914,7200000,64996,16249
India,WWI,1914,315100000,73905,18476.25
New Zealand,WWI,1914,1100000,18166,4541.5
South Africa,WWI,1914,6000000,9726,2431.5
United Kingdom,WWI,1914,45400000,887858,221964.5
Belgium,WWI,1914,7400000,58637,14659.25
France,WWI,1914,39600000,1397800,349450
Italy,WWI,1914,35600000,651000,162750
Japan,WWI,1914,53600000,4661,1165.25
Montenegro,WWI,1914,500000,13325,3331.25
Portugal,WWI,1914,6000000,7222,1805.5
Romania,WWI,1914,7500000,335706,83926.5
Russia,WWI,1914,175000000,2254369,563592.25
Serbia,WWI,1914,4500000,450000,112500
USA,WWI,1914,92000000,116708,29177
Austria-Hungary,WWI,1914,51400000,1494200,373550
Bulgaria,WWI,1914,5500000,87500,21875
German Empire,WWI,1914,64900000,2037000,509250
Ottoman Empire,WWI,1914,21300000,771844,192961
Albania,WWII,1945,1073000,30000,5000
Australia,WWII,1945,6968000,40400,6733.333333
Nauru,WWII,1945,3400,500,83.33333333
Papua New Guinea,WWII,1945,1292000,15000,2500
Belgium,WWII,1945,8387000,88000,14666.66667
RuandaUrundi,WWII,1945,3800000,300000,50000
Bulgaria,WWII,1945,6458000,21500,3583.333333
Burma,WWII,1945,16119000,252600,42100
Canada,WWII,1945,11267000,43600,7266.666667
China,WWII,1945,517568000,17000000,2833333.333
Czechoslovakia,WWII,1945,14612000,355000,59166.66667
Denmark,WWII,1945,3795000,6000,1000
Dutch East Indies,WWII,1945,69435000,3500000,583333.3333
Egypt,WWII,1945,16492000,1100,183.3333333
South Pacific Mandate Japan,WWII,1945,127000,10000,1666.666667
Estonia,WWII,1945,1134000,83000,13833.33333
Ethiopia,WWII,1945,17700000,100000,16666.66667
Finland,WWII,1945,3700000,95000,15833.33333
France,WWII,1945,41680000,600000,100000
French Indochina,WWII,1945,24664000,2000000,333333.3333
Germany,WWII,1945,69300000,7400000,1233333.333
Greece,WWII,1945,7222000,500000,83333.33333
Guam,WWII,1945,22800,1500,250
Hungary,WWII,1945,9129000,564000,94000
India,WWII,1945,377800000,25000000,4166666.667
Italy,WWII,1945,44394000,492400,82066.66667
Japan,WWII,1945,71380000,3000000,500000
Korea,WWII,1945,24326000,533000,88833.33333
Latvia,WWII,1945,1994500,250000,41666.66667
Lithuania,WWII,1945,2575000,370000,61666.66667
Luxembourg,WWII,1945,295000,5000,833.3333333
Malaya,WWII,1945,5118000,100000,16666.66667
Netherlands,WWII,1945,8729000,210000,35000
Norway,WWII,1945,2945000,10200,1700
Philippines,WWII,1945,16000303,527000,87833.33333
Poland,WWII,1945,34849000,6000000,1000000
Portuguese Timor,WWII,1945,480000,50000,8333.333333
Romania,WWII,1945,15970000,500000,83333.33333
South Africa,WWII,1945,10160000,11900,1983.333333
Soviet Union,WWII,1945,188793000,25000000,4166666.667
Sweden,WWII,1945,6341000,2100,350
Thailand,WWII,1945,15023000,7600,1266.666667
UK,WWII,1945,47760000,450900,75150
USA,WWII,1945,131028000,419400,69900
Yugoslavia,WWII,1945,15490000,1500000,250000
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
